title,author,category,technologies
"Consider Phlebas","Iain M. Banks","SPACE OPERA & GALACTIC CIVILIZATION","Sapient AI;Hyper Shields;Megastructures;Neural Implants"
"Excession","Iain M. Banks","SPACE OPERA & GALACTIC CIVILIZATION","Sapient AI;Jump Drive;Exotic Materials;Digital Consciousness"
"Rainbows End","Vernor Vinge","CONSCIOUSNESS, AI & POST-HUMANISM","Virtual Reality;Neural Implants;Nanotechnology"
"Childhood's End","Arthur C. Clarke","FIRST CONTACT & ALIEN WORLDS","Psionic Theory;World Shaper;Alien Domestication"
"Death's End","Cixin Liu","PHYSICS, SPACETIME & ENGINEERING","Jump Drive;FTL;Megastructures;Dimensional Engineering"
"The Three-Body Problem","Cixin Liu","FIRST CONTACT & ALIEN WORLDS","FTL;Virtual Reality;Dimensional Engineering"
"Hyperion","Dan Simmons","SPACE OPERA & GALACTIC CIVILIZATION","Sapient AI;Jump Drive;Terraforming;Cryostasis"
"Accelerando","Charles Stross","CONSCIOUSNESS, AI & POST-HUMANISM","Digital Consciousness;Nanotechnology;Self-Evolving Logic"
"Permutation City","Greg Egan","CONSCIOUSNESS, AI & POST-HUMANISM","Digital Consciousness;Virtual Reality;Self-Evolving Logic"
"Solaris","Stanislaw Lem","FIRST CONTACT & ALIEN WORLDS","Xenobiology;Psionic Theory"
"Foundation","Isaac Asimov","SPACE OPERA & GALACTIC CIVILIZATION","Planetary Shields;Lasers;FTL"
"Dune","Frank Herbert","SPACE OPERA & GALACTIC CIVILIZATION","Psionic Theory;Terraforming;Gene Tailoring"
"The Diamond Age","Neal Stephenson","CONSCIOUSNESS, AI & POST-HUMANISM","Nanotechnology;Sapient AI;Robotics"
"Snow Crash","Neal Stephenson","CONSCIOUSNESS, AI & POST-HUMANISM","Virtual Reality;Neural Implants"
"A Fire Upon the Deep","Vernor Vinge","SPACE OPERA & GALACTIC CIVILIZATION","Sapient AI;FTL;Xenobiology"
"Diaspora","Greg Egan","CONSCIOUSNESS, AI & POST-HUMANISM","Digital Consciousness;Jump Drive;Megastructures;Virtual Reality" 